,year,county,variable,data,total,
1,2006,Cherokee,Population,193241,#VALUE!,
2,2007,Cherokee,Population,202544,62699,
3,2008,Cherokee,Population,208271,51683,
4,2009,Cherokee,Population,212232,40306,
5,2010,Cherokee,Population,215226,38290,
6,2011,Cherokee,Population,217769,51617,
7,2012,Cherokee,Population,220690,65794,
8,2013,Cherokee,Population,224372,40775,
9,2014,Cherokee,Population,230239,49460,
10,2015,Cherokee,Population,235424,58273,
11,2016,Cherokee,Population,241929,63022,
12,2017,Cherokee,Population,247944,43374,
13,2018,Cherokee,Population,254277,33571,
14,2019,Cherokee,Population,259475,34350,
15,2020,Cherokee,Population,265274,21814,
16,2006,Clayton,Population,258552,,
17,2007,Clayton,Population,260441,,
18,2008,Clayton,Population,262099,,
19,2009,Clayton,Population,260067,,
20,2010,Clayton,Population,259899,,
21,2011,Clayton,Population,262081,,
22,2012,Clayton,Population,265371,,
23,2013,Clayton,Population,264133,,
24,2014,Clayton,Population,266757,,
25,2015,Clayton,Population,272874,,
26,2016,Clayton,Population,279346,,
27,2017,Clayton,Population,284175,,
28,2018,Clayton,Population,289229,,
29,2019,Clayton,Population,292404,,
30,2020,Clayton,Population,292646,,
31,2006,Cobb,Population,661913,,
32,2007,Cobb,Population,670438,,
33,2008,Cobb,Population,679822,,
34,2009,Cobb,Population,684776,,
35,2010,Cobb,Population,689542,,
36,2011,Cobb,Population,696629,,
37,2012,Cobb,Population,706517,,
38,2013,Cobb,Population,716265,,
39,2014,Cobb,Population,727847,,
40,2015,Cobb,Population,739428,,
41,2016,Cobb,Population,748767,,
42,2017,Cobb,Population,753361,,
43,2018,Cobb,Population,757133,,
44,2019,Cobb,Population,761060,,
45,2020,Cobb,Population,762944,,
46,2006,DeKalb,Population,676687,,
47,2007,DeKalb,Population,680962,,
48,2008,DeKalb,Population,685646,,
49,2009,DeKalb,Population,690658,,
50,2010,DeKalb,Population,692536,,
51,2011,DeKalb,Population,698496,,
52,2012,DeKalb,Population,710783,,
53,2013,DeKalb,Population,718026,,
54,2014,DeKalb,Population,725247,,
55,2015,DeKalb,Population,734846,,
56,2016,DeKalb,Population,747299,,
57,2017,DeKalb,Population,751680,,
58,2018,DeKalb,Population,755514,,
59,2019,DeKalb,Population,759932,,
60,2020,DeKalb,Population,762009,,
61,2006,Douglas,Population,119918,,
62,2007,Douglas,Population,125560,,
63,2008,Douglas,Population,129508,,
64,2009,Douglas,Population,131292,,
65,2010,Douglas,Population,132575,,
66,2011,Douglas,Population,133128,,
67,2012,Douglas,Population,133597,,
68,2013,Douglas,Population,136081,,
69,2014,Douglas,Population,138082,,
70,2015,Douglas,Population,140264,,
71,2016,Douglas,Population,141824,,
72,2017,Douglas,Population,143563,,
73,2018,Douglas,Population,145260,,
74,2019,Douglas,Population,146680,,
75,2020,Douglas,Population,147988,,
76,2006,Fayette,Population,104099,,
77,2007,Fayette,Population,104989,,
78,2008,Fayette,Population,105192,,
79,2009,Fayette,Population,105493,,
80,2010,Fayette,Population,106938,,
81,2011,Fayette,Population,107171,,
82,2012,Fayette,Population,107343,,
83,2013,Fayette,Population,108103,,
84,2014,Fayette,Population,109259,,
85,2015,Fayette,Population,110215,,
86,2016,Fayette,Population,111294,,
87,2017,Fayette,Population,112626,,
88,2018,Fayette,Population,113333,,
89,2019,Fayette,Population,114645,,
90,2020,Fayette,Population,115821,,
91,2006,Forsyth,Population,147228,,
92,2007,Forsyth,Population,157129,,
93,2008,Forsyth,Population,166338,,
94,2009,Forsyth,Population,171993,,
95,2010,Forsyth,Population,176736,,
96,2011,Forsyth,Population,181828,,
97,2012,Forsyth,Population,186848,,
98,2013,Forsyth,Population,193875,,
99,2014,Forsyth,Population,202697,,
100,2015,Forsyth,Population,211368,,
101,2016,Forsyth,Population,220856,,
102,2017,Forsyth,Population,229367,,
103,2018,Forsyth,Population,237330,,
104,2019,Forsyth,Population,244624,,
105,2020,Forsyth,Population,250847,,
106,2006,Fulton,Population,845181,,
107,2007,Fulton,Population,869329,,
108,2008,Fulton,Population,888694,,
109,2009,Fulton,Population,905511,,
110,2010,Fulton,Population,925622,,
111,2011,Fulton,Population,947582,,
112,2012,Fulton,Population,973464,,
113,2013,Fulton,Population,981844,,
114,2014,Fulton,Population,992321,,
115,2015,Fulton,Population,1005752,,
116,2016,Fulton,Population,1023816,,
117,2017,Fulton,Population,1039996,,
118,2018,Fulton,Population,1051516,,
119,2019,Fulton,Population,1065019,,
120,2020,Fulton,Population,1077402,,
121,2006,Gwinnett,Population,740267,,
122,2007,Gwinnett,Population,764129,,
123,2008,Gwinnett,Population,780721,,
124,2009,Gwinnett,Population,796276,,
125,2010,Gwinnett,Population,807979,,
